asset_id,status,page,component,notes
home/hero-montage,pending-integration,,,
home/thumb-healthcare,pending-integration,,,
home/thumb-real-estate,pending-integration,,,
home/thumb-claude,pending-integration,,,
home/thumb-ai-bot,pending-integration,,,
home/thumb-cinematic,pending-integration,,,
home/thumb-web-uiux,pending-integration,,,
home/service-strip,pending-integration,,,
home/cta-banner,pending-integration,,,
home/promo-cinematic,pending-integration,,,
home/promo-real-estate,pending-integration,,,
home/service-cards/cinematic-video,pending-integration,,,
home/service-artwork/cinematic-video,pending-integration,,,
home/service-cards/generative-image-design,pending-integration,,,
home/service-artwork/generative-image-design,pending-integration,,,
home/service-cards/websites-uiux,pending-integration,,,
home/service-artwork/websites-uiux,pending-integration,,,
home/service-cards/claude-ai,pending-integration,,,
home/service-artwork/claude-ai,pending-integration,,,
home/service-cards/custom-ai-bots,pending-integration,,,
home/service-artwork/custom-ai-bots,pending-integration,,,
home/service-cards/workflow-automation,pending-integration,,,
home/service-artwork/workflow-automation,pending-integration,,,
home/service-cards/api-integrations,pending-integration,,,
home/service-artwork/api-integrations,pending-integration,,,
home/service-cards/creative-systems,pending-integration,,,
home/service-artwork/creative-systems,pending-integration,,,
work/cards/reliance-hospital,pending-integration,,,
work/artwork/reliance-hospital,pending-integration,,,
work/cards/blu-diamond,pending-integration,,,
work/artwork/blu-diamond,pending-integration,,,
work/cards/claude-ai,pending-integration,,,
work/artwork/claude-ai,pending-integration,,,
work/cards/custom-ai-bots,pending-integration,,,
work/artwork/custom-ai-bots,pending-integration,,,
work/cards/oncosphere,pending-integration,,,
work/artwork/oncosphere,pending-integration,,,
work/cards/realatte-ai,pending-integration,,,
work/artwork/realatte-ai,pending-integration,,,
work/cards/alfamed,pending-integration,,,
work/artwork/alfamed,pending-integration,,,
work/cards/social-media-campaign,pending-integration,,,
work/artwork/social-media-campaign,pending-integration,,,
work/cards/esmo-asia,pending-integration,,,
work/artwork/esmo-asia,pending-integration,,,
work/featured-reliance-case-study,pending-integration,,,
work/statistics-strip,pending-integration,,,
work/cta-banner,pending-integration,,,
services/hero-laptop-montage,pending-integration,,,
services/thumbnails/cinematic-video,pending-integration,,,
services/thumbnails/generative-image-design,pending-integration,,,
services/thumbnails/websites-uiux,pending-integration,,,
services/thumbnails/claude-ai-automation,pending-integration,,,
services/thumbnails/custom-ai-bots,pending-integration,,,
services/thumbnails/workflow-automation,pending-integration,,,
services/thumbnails/api-integrations,pending-integration,,,
services/thumbnails/3d-visualization,pending-integration,,,
services/thumbnails/social-media-campaigns,pending-integration,,,
services/thumbnails/more-possibilities,pending-integration,,,
services/featured-claude-ai,pending-integration,,,
services/feature-websites-uiux,pending-integration,,,
services/feature-cinematic-video,pending-integration,,,
services/cta-banner,pending-integration,,,
about/hero-workspace,pending-integration,,,
about/journey/design-foundations,pending-integration,,,
about/journey/multimedia-video,pending-integration,,,
about/journey/ai-integration,pending-integration,,,
about/journey/creative-ai-specialist,pending-integration,,,
about/experience/cards/medisage,pending-integration,,,
about/experience/artwork/medisage,pending-integration,,,
about/experience/cards/nanavati-max,pending-integration,,,
about/experience/artwork/nanavati-max,pending-integration,,,
about/experience/cards/s3k-impex,pending-integration,,,
about/experience/artwork/s3k-impex,pending-integration,,,
about/experience/cards/realatte-ai,pending-integration,,,
about/experience/artwork/realatte-ai,pending-integration,,,
about/industries/cards/healthcare,pending-integration,,,
about/industries/artwork/healthcare,pending-integration,,,
about/industries/cards/real-estate,pending-integration,,,
about/industries/artwork/real-estate,pending-integration,,,
about/industries/cards/jewelry,pending-integration,,,
about/industries/artwork/jewelry,pending-integration,,,
about/industries/cards/ai-products,pending-integration,,,
about/industries/artwork/ai-products,pending-integration,,,
about/industries/cards/social-campaigns,pending-integration,,,
about/industries/artwork/social-campaigns,pending-integration,,,
about/industries/cards/medical-education,pending-integration,,,
about/industries/artwork/medical-education,pending-integration,,,
about/testimonials/medisage,pending-integration,,,
